Machine Module,SSA3021X Plus,3.2.2.6.0R10,,,,,,
Y Axis Scale,LOG,,,,,,,
Y Axis Unit,dBm,,,,,,,
Impedance,50,,,,,,,
Number of Points,751,,,,,,,
PreAmp State,OFF,,,,,,,
Ref Level,5.00E+00,,,,,,,
Attenuation,25,Auto,,,,,,
Sweep Time,13771493,Auto,,,,,,
Start Frequency,5.00E+04,,,,,,,
Stop Frequency,5.05E+08,,,,,,,
Average Type,Log Pwr,,,,,,,
RBW,1000,Manual,,,,,,
VBW,1000,Auto,,,,,,
Sweep Type,Continuous,,,,,,,
Sweep Mode,Speed,,,,,,,
Sweep Rule,Auto,,,,,,,
Trigger Source,Free Run,,,,,,,
Trigger Level,0.00E+00,,,,,,,
Trigger Edge,Rise,,,,,,,
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
Marker X Axis,49871733.33,,,,,,,
Marker Ampt,0.32059399,,,,,,,
Trace Math,OFF,,,,,,,
Trace Variable X,Trace A,,,,,,,
106426133,-78.22,,,,,,,
107099400,-78.25,,,,,,,
107772667,-77.97,,,,,,,
108445933,-78.97,,,,,,,
109119200,-78.16,,,,,,,
109792467,-79.12,,,,,,,
110465733,-79.54,,,,,,,
111139000,-77.85,,,,,,,
111812267,-78.18,,,,,,,
112485533,-76.82,,,,,,,
113158800,-79.18,,,,,,,
113832067,-79.14,,,,,,,
114505333,-78.07,,,,,,,
115178600,-79.1,,,,,,,
115851867,-79.13,,,,,,,
116525133,-79.26,,,,,,,
117198400,-79,,,,,,,
117871667,-79.69,,,,,,,
118544933,-79.15,,,,,,,
119218200,-78.41,,,,,,,
119891467,-79.08,,,,,,,
120564733,-78.87,,,,,,,
121238000,-78.85,,,,,,,
121911267,-78.43,,,,,,,
122584533,-77.55,,,,,,,
123257800,-78.57,,,,,,,
123931067,-76.49,,,,,,,
124604333,-79.35,,,,,,,
125277600,-78.16,,,,,,,
125950867,-78.73,,,,,,,
126624133,-78.51,,,,,,,
127297400,-78.18,,,,,,,
127970667,-78.6,,,,,,,
128643933,-78.07,,,,,,,
129317200,-79.28,,,,,,,
129990467,-79.3,,,,,,,
130663733,-78.84,,,,,,,
131337000,-79.46,,,,,,,
132010267,-77.91,,,,,,,
132683533,-77.7,,,,,,,
133356800,-78.77,,,,,,,
134030067,-78.2,,,,,,,
134703333,-79.65,,,,,,,
135376600,-78.25,,,,,,,
136049867,-80.27,,,,,,,
136723133,-79.16,,,,,,,
137396400,-78.93,,,,,,,
138069667,-76.93,,,,,,,
138742933,-78.63,,,,,,,
139416200,-78.67,,,,,,,
140089467,-77.95,,,,,,,
140762733,-78.75,,,,,,,
141436000,-78.17,,,,,,,
142109267,-77.25,,,,,,,
142782533,-78.55,,,,,,,
143455800,-77.21,,,,,,,
144129067,-78.69,,,,,,,
144802333,-78.23,,,,,,,
145475600,-78.28,,,,,,,
146148867,-78.08,,,,,,,
146822133,-77.97,,,,,,,
147495400,-78.81,,,,,,,
148168667,-78.57,,,,,,,
148841933,-77.67,,,,,,,
149515200,-78.52,,,,,,,
150188467,-41.85,,,,,,,
150861733,-77.28,,,,,,,
151535000,-77.87,,,,,,,
152208267,-79.45,,,,,,,
152881533,-78.59,,,,,,,
153554800,-79.99,,,,,,,
154228067,-77.8,,,,,,,
154901333,-78.96,,,,,,,
155574600,-78.28,,,,,,,
156247867,-77.45,,,,,,,
156921133,-78.92,,,,,,,
157594400,-77.2,,,,,,,
158267667,-79.42,,,,,,,
158940933,-78.15,,,,,,,
159614200,-78.91,,,,,,,
160287467,-79.59,,,,,,,
160960733,-77.55,,,,,,,
161634000,-78.91,,,,,,,
162307267,-78.78,,,,,,,
162980533,-78.46,,,,,,,
163653800,-78,,,,,,,
164327067,-78.99,,,,,,,
165000333,-78.59,,,,,,,
165673600,-77.34,,,,,,,
166346867,-78.97,,,,,,,
167020133,-78.84,,,,,,,
167693400,-77.29,,,,,,,
168366667,-79.41,,,,,,,
169039933,-78.38,,,,,,,
169713200,-78.15,,,,,,,
170386467,-78.11,,,,,,,
171059733,-79.1,,,,,,,
171733000,-77.52,,,,,,,
172406267,-78.96,,,,,,,
173079533,-79,,,,,,,
173752800,-78.9,,,,,,,
174426067,-77.92,,,,,,,
175099333,-78.95,,,,,,,
175772600,-78.83,,,,,,,
176445867,-79.01,,,,,,,
177119133,-79.6,,,,,,,
177792400,-77.92,,,,,,,
178465667,-79.16,,,,,,,
179138933,-78.2,,,,,,,
179812200,-77.79,,,,,,,
180485467,-78.63,,,,,,,
181158733,-78.23,,,,,,,
181832000,-78.55,,,,,,,
182505267,-77.73,,,,,,,
183178533,-78.61,,,,,,,
183851800,-78.79,,,,,,,
184525067,-78.46,,,,,,,
185198333,-79.23,,,,,,,
185871600,-79.12,,,,,,,
186544867,-78.53,,,,,,,
187218133,-77.84,,,,,,,
187891400,-78.57,,,,,,,
188564667,-78.58,,,,,,,
189237933,-77.97,,,,,,,
189911200,-79.11,,,,,,,
190584467,-79.22,,,,,,,
191257733,-78.73,,,,,,,
191931000,-78.56,,,,,,,
192604267,-77.87,,,,,,,
193277533,-79.26,,,,,,,
193950800,-77.9,,,,,,,
194624067,-77.45,,,,,,,
195297333,-78.18,,,,,,,
195970600,-77.17,,,,,,,
196643867,-78.38,,,,,,,
197317133,-78.08,,,,,,,
197990400,-79.24,,,,,,,
198663667,-77.67,,,,,,,
199336933,-78.33,,,,,,,
200010200,-52.86,,,,,,,
200683467,-79.06,,,,,,,
201356733,-78.74,,,,,,,
202030000,-77.32,,,,,,,
202703267,-78.58,,,,,,,
203376533,-78.52,,,,,,,
204049800,-78.05,,,,,,,
204723067,-77.79,,,,,,,
205396333,-78.42,,,,,,,
206069600,-78.97,,,,,,,
206742867,-78.26,,,,,,,
207416133,-79,,,,,,,
208089400,-78.28,,,,,,,
208762667,-78.25,,,,,,,
209435933,-79.27,,,,,,,
210109200,-78.42,,,,,,,
210782467,-79.54,,,,,,,
211455733,-78.67,,,,,,,
212129000,-78.14,,,,,,,
212802267,-77.57,,,,,,,
213475533,-78.05,,,,,,,
214148800,-78.32,,,,,,,
214822067,-79.06,,,,,,,
215495333,-77.61,,,,,,,
216168600,-78.8,,,,,,,
216841867,-78.13,,,,,,,
217515133,-79.15,,,,,,,
218188400,-77.63,,,,,,,
218861667,-79.13,,,,,,,
219534933,-78.33,,,,,,,
220208200,-78.84,,,,,,,
220881467,-77.79,,,,,,,
221554733,-78.76,,,,,,,
222228000,-78.78,,,,,,,
222901267,-77.89,,,,,,,
223574533,-78.08,,,,,,,
224247800,-78.25,,,,,,,
224921067,-77.86,,,,,,,
225594333,-78.41,,,,,,,
226267600,-78.96,,,,,,,
226940867,-77.9,,,,,,,
227614133,-78.68,,,,,,,
228287400,-78.19,,,,,,,
228960667,-79.18,,,,,,,
229633933,-78.7,,,,,,,
230307200,-78.99,,,,,,,
230980467,-78.94,,,,,,,
231653733,-77.78,,,,,,,
232327000,-77.72,,,,,,,
233000267,-78.79,,,,,,,
233673533,-80.23,,,,,,,
234346800,-78.22,,,,,,,
235020067,-78.4,,,,,,,
235693333,-77.32,,,,,,,
236366600,-78.25,,,,,,,
237039867,-78.21,,,,,,,
237713133,-78.91,,,,,,,
238386400,-78.03,,,,,,,
239059667,-77.97,,,,,,,
239732933,-78.74,,,,,,,
240406200,-77.35,,,,,,,
241079467,-77.23,,,,,,,
241752733,-78.56,,,,,,,
242426000,-79.22,,,,,,,
243099267,-77.85,,,,,,,
243772533,-79.57,,,,,,,
244445800,-78.64,,,,,,,
245119067,-78.6,,,,,,,
245792333,-77.87,,,,,,,
246465600,-78.8,,,,,,,
247138867,-78.58,,,,,,,
247812133,-78.83,,,,,,,
248485400,-78.94,,,,,,,
249158667,-79.18,,,,,,,
249831933,-77.18,,,,,,,
250505200,-78.27,,,,,,,
251178467,-78.95,,,,,,,
251851733,-78.71,,,,,,,
252525000,-78.95,,,,,,,
253198267,-79.6,,,,,,,
253871533,-78.23,,,,,,,
254544800,-78.46,,,,,,,
255218067,-79.11,,,,,,,
255891333,-78.61,,,,,,,
256564600,-78.37,,,,,,,
257237867,-78.63,,,,,,,
257911133,-78.34,,,,,,,
258584400,-79.3,,,,,,,
259257667,-78.24,,,,,,,
259930933,-77.4,,,,,,,
260604200,-77.52,,,,,,,
261277467,-78.25,,,,,,,
261950733,-78.17,,,,,,,
262624000,-77.7,,,,,,,
263297267,-78.82,,,,,,,
263970533,-77.42,,,,,,,
264643800,-78.7,,,,,,,
265317067,-78.1,,,,,,,
265990333,-78.17,,,,,,,
266663600,-78.62,,,,,,,
267336867,-77.83,,,,,,,
268010133,-78.03,,,,,,,
268683400,-79.19,,,,,,,
269356667,-77.25,,,,,,,
270029933,-78.67,,,,,,,
270703200,-78.37,,,,,,,
271376467,-78.09,,,,,,,
272049733,-78.71,,,,,,,
272723000,-78.2,,,,,,,
273396267,-78.57,,,,,,,
274069533,-77.9,,,,,,,
274742800,-78.97,,,,,,,
275416067,-78.97,,,,,,,
276089333,-78.78,,,,,,,
276762600,-76.83,,,,,,,
277435867,-78.84,,,,,,,
278109133,-78.14,,,,,,,
278782400,-78,,,,,,,
279455667,-78.81,,,,,,,
280128933,-78.77,,,,,,,
280802200,-79.28,,,,,,,
281475467,-78.04,,,,,,,
282148733,-79.01,,,,,,,
282822000,-77.66,,,,,,,
283495267,-78.28,,,,,,,
284168533,-78.19,,,,,,,
284841800,-78.63,,,,,,,
285515067,-78.74,,,,,,,
286188333,-78.21,,,,,,,
286861600,-79.29,,,,,,,
287534867,-78.2,,,,,,,
288208133,-79.52,,,,,,,
288881400,-79,,,,,,,
289554667,-78.21,,,,,,,
290227933,-78.8,,,,,,,
290901200,-76.79,,,,,,,
291574467,-78.73,,,,,,,
292247733,-78.74,,,,,,,
292921000,-77.59,,,,,,,
293594267,-79.58,,,,,,,
294267533,-79.05,,,,,,,
294940800,-79.13,,,,,,,
295614067,-78.3,,,,,,,
296287333,-77.73,,,,,,,
296960600,-78.79,,,,,,,
297633867,-78.2,,,,,,,
298307133,-79.42,,,,,,,
298980400,-78.48,,,,,,,
299653667,-79.48,,,,,,,
300326933,-73.61,,,,,,,
301000200,-78.91,,,,,,,
301673467,-77.54,,,,,,,
302346733,-78.79,,,,,,,
303020000,-78.21,,,,,,,
303693267,-79.36,,,,,,,
304366533,-77.67,,,,,,,
305039800,-78.33,,,,,,,
305713067,-78.06,,,,,,,
306386333,-77.95,,,,,,,
307059600,-79.18,,,,,,,
307732867,-78.16,,,,,,,
308406133,-78.56,,,,,,,
309079400,-78.28,,,,,,,
309752667,-77.09,,,,,,,
310425933,-78.18,,,,,,,
311099200,-78.39,,,,,,,
311772467,-79.09,,,,,,,
312445733,-78.74,,,,,,,
313119000,-78.59,,,,,,,
313792267,-79.21,,,,,,,
314465533,-78.86,,,,,,,
315138800,-78.74,,,,,,,
315812067,-77.06,,,,,,,
316485333,-79.37,,,,,,,
317158600,-77.76,,,,,,,
317831867,-78.53,,,,,,,
318505133,-79.04,,,,,,,
319178400,-78.93,,,,,,,
319851667,-78.45,,,,,,,
320524933,-78.95,,,,,,,
321198200,-78.65,,,,,,,
321871467,-79.33,,,,,,,
322544733,-78.16,,,,,,,
323218000,-78.66,,,,,,,
323891267,-78.41,,,,,,,
324564533,-78.39,,,,,,,
325237800,-78.72,,,,,,,
325911067,-79.44,,,,,,,
326584333,-77.47,,,,,,,
327257600,-77.74,,,,,,,
327930867,-78.33,,,,,,,
328604133,-79.02,,,,,,,
