Freq.	abs(V(drain))
1.00000000000000e+07	9.97466689458632e+00,0.00000000000000e+00
1.00004682920841e+07	9.97525902836873e+00,0.00000000000000e+00
1.00009366060979e+07	9.97585121070842e+00,0.00000000000000e+00
1.00014049420425e+07	9.97644344161147e+00,0.00000000000000e+00
1.00018732999190e+07	9.97703572108393e+00,0.00000000000000e+00
1.00023416797282e+07	9.97762804913191e+00,0.00000000000000e+00
1.00028100814713e+07	9.97822042576145e+00,0.00000000000000e+00
1.00032785051493e+07	9.97881285097867e+00,0.00000000000000e+00
1.00037469507632e+07	9.97940532478963e+00,0.00000000000000e+00
1.00042154183140e+07	9.97999784720043e+00,0.00000000000000e+00
1.00046839078028e+07	9.98059041821715e+00,0.00000000000000e+00
1.00051524192306e+07	9.98118303784585e+00,0.00000000000000e+00
1.00056209525984e+07	9.98177570609267e+00,0.00000000000000e+00
1.00060895079073e+07	9.98236842296365e+00,0.00000000000000e+00
1.00065580851582e+07	9.98296118846490e+00,0.00000000000000e+00
1.00070266843522e+07	9.98355400260251e+00,0.00000000000000e+00
1.00074953054904e+07	9.98414686538256e+00,0.00000000000000e+00
1.00079639485737e+07	9.98473977681117e+00,0.00000000000000e+00
1.00084326136032e+07	9.98533273689441e+00,0.00000000000000e+00
1.00089013005799e+07	9.98592574563837e+00,0.00000000000000e+00
1.00093700095049e+07	9.98651880304916e+00,0.00000000000000e+00
1.00098387403791e+07	9.98711190913287e+00,0.00000000000000e+00
1.00103074932036e+07	9.98770506389560e+00,0.00000000000000e+00
1.00107762679794e+07	9.98829826734343e+00,0.00000000000000e+00
1.00112450647076e+07	9.98889151948251e+00,0.00000000000000e+00
1.00117138833892e+07	9.98948482031891e+00,0.00000000000000e+00
1.00121827240252e+07	9.99007816985872e+00,0.00000000000000e+00
1.00126515866166e+07	9.99067156810805e+00,0.00000000000000e+00
1.00131204711645e+07	9.99126501507300e+00,0.00000000000000e+00
1.00135893776698e+07	9.99185851075970e+00,0.00000000000000e+00
1.00140583061337e+07	9.99245205517423e+00,0.00000000000000e+00
1.00145272565572e+07	9.99304564832272e+00,0.00000000000000e+00
1.00149962289412e+07	9.99363929021128e+00,0.00000000000000e+00
1.00154652232868e+07	9.99423298084599e+00,0.00000000000000e+00
1.00159342395951e+07	9.99482672023298e+00,0.00000000000000e+00
1.00164032778670e+07	9.99542050837835e+00,0.00000000000000e+00
1.00168723381036e+07	9.99601434528823e+00,0.00000000000000e+00
1.00173414203059e+07	9.99660823096874e+00,0.00000000000000e+00
1.00178105244750e+07	9.99720216542595e+00,0.00000000000000e+00
1.00182796506119e+07	9.99779614866604e+00,0.00000000000000e+00
1.00187487987175e+07	9.99839018069508e+00,0.00000000000000e+00
1.00192179687930e+07	9.99898426151921e+00,0.00000000000000e+00
1.00196871608394e+07	9.99957839114454e+00,0.00000000000000e+00
1.00201563748576e+07	1.00001725695772e+01,0.00000000000000e+00
1.00206256108488e+07	1.00007667968233e+01,0.00000000000000e+00
1.00210948688139e+07	1.00013610728889e+01,0.00000000000000e+00
1.00215641487540e+07	1.00019553977803e+01,0.00000000000000e+00
1.00220334506701e+07	1.00025497715035e+01,0.00000000000000e+00
1.00225027745633e+07	1.00031441940646e+01,0.00000000000000e+00
1.00229721204345e+07	1.00037386654698e+01,0.00000000000000e+00
1.00234414882848e+07	1.00043331857251e+01,0.00000000000000e+00
1.00239108781152e+07	1.00049277548368e+01,0.00000000000000e+00
1.00243802899268e+07	1.00055223728110e+01,0.00000000000000e+00
1.00248497237206e+07	1.00061170396538e+01,0.00000000000000e+00
1.00253191794976e+07	1.00067117553712e+01,0.00000000000000e+00
1.00257886572588e+07	1.00073065199695e+01,0.00000000000000e+00
1.00262581570053e+07	1.00079013334549e+01,0.00000000000000e+00
1.00267276787381e+07	1.00084961958333e+01,0.00000000000000e+00
1.00271972224582e+07	1.00090911071110e+01,0.00000000000000e+00
1.00276667881667e+07	1.00096860672941e+01,0.00000000000000e+00
1.00281363758646e+07	1.00102810763887e+01,0.00000000000000e+00
1.00286059855529e+07	1.00108761344010e+01,0.00000000000000e+00
1.00290756172327e+07	1.00114712413371e+01,0.00000000000000e+00
1.00295452709049e+07	1.00120663972032e+01,0.00000000000000e+00
