Freq.	abs(V(drain))
1.00384728706185e+07	4.73084579237369e+01,0.00000000000000e+00
1.00389429643567e+07	4.73080415360774e+01,0.00000000000000e+00
1.00394130801089e+07	4.73076251148234e+01,0.00000000000000e+00
1.00398832178764e+07	4.73072086599720e+01,0.00000000000000e+00
1.00403533776600e+07	4.73067921715207e+01,0.00000000000000e+00
1.00408235594608e+07	4.73063756494661e+01,0.00000000000000e+00
1.00412937632799e+07	4.73059590938055e+01,0.00000000000000e+00
1.00417639891182e+07	4.73055425045363e+01,0.00000000000000e+00
1.00422342369769e+07	4.73051258816556e+01,0.00000000000000e+00
1.00427045068568e+07	4.73047092251602e+01,0.00000000000000e+00
1.00431747987592e+07	4.73042925350473e+01,0.00000000000000e+00
1.00436451126849e+07	4.73038758113144e+01,0.00000000000000e+00
1.00441154486351e+07	4.73034590539584e+01,0.00000000000000e+00
1.00445858066107e+07	4.73030422629764e+01,0.00000000000000e+00
1.00450561866129e+07	4.73026254383654e+01,0.00000000000000e+00
1.00455265886425e+07	4.73022085801230e+01,0.00000000000000e+00
1.00459970127007e+07	4.73017916882458e+01,0.00000000000000e+00
1.00464674587885e+07	4.73013747627313e+01,0.00000000000000e+00
1.00469379269069e+07	4.73009578035766e+01,0.00000000000000e+00
1.00474084170569e+07	4.73005408107784e+01,0.00000000000000e+00
1.00478789292397e+07	4.73001237843346e+01,0.00000000000000e+00
1.00483494634561e+07	4.72997067242416e+01,0.00000000000000e+00
1.00488200197073e+07	4.72992896304971e+01,0.00000000000000e+00
1.00492905979943e+07	4.72988725030977e+01,0.00000000000000e+00
1.00497611983181e+07	4.72984553420411e+01,0.00000000000000e+00
1.00502318206797e+07	4.72980381473239e+01,0.00000000000000e+00
1.00507024650802e+07	4.72976209189436e+01,0.00000000000000e+00
1.00511731315206e+07	4.72972036568972e+01,0.00000000000000e+00
1.00516438200019e+07	4.72967863611818e+01,0.00000000000000e+00
1.00521145305252e+07	4.72963690317946e+01,0.00000000000000e+00
1.00525852630915e+07	4.72959516687327e+01,0.00000000000000e+00
1.00530560177019e+07	4.72955342719935e+01,0.00000000000000e+00
1.00535267943573e+07	4.72951168415735e+01,0.00000000000000e+00
1.00539975930588e+07	4.72946993774703e+01,0.00000000000000e+00
1.00544684138074e+07	4.72942818796810e+01,0.00000000000000e+00
1.00549392566042e+07	4.72938643482026e+01,0.00000000000000e+00
1.00554101214502e+07	4.72934467830322e+01,0.00000000000000e+00
1.00558810083464e+07	4.72930291841673e+01,0.00000000000000e+00
1.00563519172939e+07	4.72926115516047e+01,0.00000000000000e+00
1.00568228482936e+07	4.72921938853416e+01,0.00000000000000e+00
1.00572938013467e+07	4.72917761853750e+01,0.00000000000000e+00
1.00577647764542e+07	4.72913584517022e+01,0.00000000000000e+00
1.00582357736170e+07	4.72909406843202e+01,0.00000000000000e+00
1.00587067928363e+07	4.72905228832266e+01,0.00000000000000e+00
1.00591778341130e+07	4.72901050484177e+01,0.00000000000000e+00
1.00596488974483e+07	4.72896871798912e+01,0.00000000000000e+00
1.00601199828430e+07	4.72892692776441e+01,0.00000000000000e+00
1.00605910902983e+07	4.72888513416737e+01,0.00000000000000e+00
1.00610622198152e+07	4.72884333719769e+01,0.00000000000000e+00
1.00615333713947e+07	4.72880153685508e+01,0.00000000000000e+00
1.00620045450379e+07	4.72875973313927e+01,0.00000000000000e+00
1.00624757407457e+07	4.72871792604996e+01,0.00000000000000e+00
1.00629469585193e+07	4.72867611558687e+01,0.00000000000000e+00
1.00634181983596e+07	4.72863430174971e+01,0.00000000000000e+00
1.00638894602678e+07	4.72859248453819e+01,0.00000000000000e+00
1.00643607442447e+07	4.72855066395205e+01,0.00000000000000e+00
1.00648320502915e+07	4.72850883999095e+01,0.00000000000000e+00
1.00653033784092e+07	4.72846701265466e+01,0.00000000000000e+00
1.00657747285988e+07	4.72842518194286e+01,0.00000000000000e+00
1.00662461008614e+07	4.72838334785527e+01,0.00000000000000e+00
1.00667174951979e+07	4.72834151039157e+01,0.00000000000000e+00
1.00671889116095e+07	4.72829966955153e+01,0.00000000000000e+00
1.00676603500971e+07	4.72825782533483e+01,0.00000000000000e+00
1.00681318106619e+07	4.72821597774121e+01,0.00000000000000e+00
1.00686032933047e+07	4.72817412677034e+01,0.00000000000000e+00
1.00690747980267e+07	4.72813227242196e+01,0.00000000000000e+00
1.00695463248289e+07	4.72809041469579e+01,0.00000000000000e+00
1.00700178737124e+07	4.72804855359151e+01,0.00000000000000e+00
1.00704894446781e+07	4.72800668910887e+01,0.00000000000000e+00
1.00709610377270e+07	4.72796482124755e+01,0.00000000000000e+00
1.00714326528604e+07	4.72792295000730e+01,0.00000000000000e+00
1.00719042900790e+07	4.72788107538779e+01,0.00000000000000e+00
1.00723759493841e+07	4.72783919738877e+01,0.00000000000000e+00
1.00728476307766e+07	4.72779731600992e+01,0.00000000000000e+00
1.00733193342576e+07	4.72775543125099e+01,0.00000000000000e+00
1.00737910598281e+07	4.72771354311166e+01,0.00000000000000e+00
1.00742628074891e+07	4.72767165159166e+01,0.00000000000000e+00
1.00747345772417e+07	4.72762975669069e+01,0.00000000000000e+00
1.00752063690869e+07	4.72758785840848e+01,0.00000000000000e+00
1.00756781830257e+07	4.72754595674472e+01,0.00000000000000e+00
1.00761500190592e+07	4.72750405169913e+01,0.00000000000000e+00
1.00766218771884e+07	4.72746214327146e+01,0.00000000000000e+00
1.00770937574143e+07	4.72742023146135e+01,0.00000000000000e+00
1.00775656597381e+07	4.72737831626857e+01,0.00000000000000e+00
1.00780375841606e+07	4.72733639769281e+01,0.00000000000000e+00
1.00785095306830e+07	4.72729447573378e+01,0.00000000000000e+00
1.00789814993063e+07	4.72725255039122e+01,0.00000000000000e+00
1.00794534900314e+07	4.72721062166480e+01,0.00000000000000e+00
1.00799255028596e+07	4.72716868955429e+01,0.00000000000000e+00
1.00803975377917e+07	4.72712675405932e+01,0.00000000000000e+00
1.00808695948288e+07	4.72708481517968e+01,0.00000000000000e+00
1.00813416739720e+07	4.72704287291503e+01,0.00000000000000e+00
1.00818137752223e+07	4.72700092726511e+01,0.00000000000000e+00
1.00822858985808e+07	4.72695897822964e+01,0.00000000000000e+00
1.00827580440484e+07	4.72691702580832e+01,0.00000000000000e+00
1.00832302116261e+07	4.72687507000085e+01,0.00000000000000e+00
1.00837024013152e+07	4.72683311080695e+01,0.00000000000000e+00
1.00841746131164e+07	4.72679114822634e+01,0.00000000000000e+00
1.00846468470310e+07	4.72674918225873e+01,0.00000000000000e+00
1.00851191030600e+07	4.72670721290381e+01,0.00000000000000e+00
1.00855913812043e+07	4.72666524016133e+01,0.00000000000000e+00
1.00860636814650e+07	4.72662326403099e+01,0.00000000000000e+00
1.00865360038432e+07	4.72658128451249e+01,0.00000000000000e+00
1.00870083483398e+07	4.72653930160554e+01,0.00000000000000e+00
1.00874807149560e+07	4.72649731530987e+01,0.00000000000000e+00
1.00879531036927e+07	4.72645532562517e+01,0.00000000000000e+00
1.00884255145510e+07	4.72641333255118e+01,0.00000000000000e+00
1.00888979475320e+07	4.72637133608761e+01,0.00000000000000e+00
1.00893704026366e+07	4.72632933623414e+01,0.00000000000000e+00
1.00898428798659e+07	4.72628733299050e+01,0.00000000000000e+00
1.00903153792209e+07	4.72624532635642e+01,0.00000000000000e+00
1.00907879007027e+07	4.72620331633156e+01,0.00000000000000e+00
1.00912604443123e+07	4.72616130291570e+01,0.00000000000000e+00
1.00917330100508e+07	4.72611928610853e+01,0.00000000000000e+00
1.00922055979191e+07	4.72607726590971e+01,0.00000000000000e+00
1.00926782079184e+07	4.72603524231902e+01,0.00000000000000e+00
1.00931508400496e+07	4.72599321533614e+01,0.00000000000000e+00
1.00936234943138e+07	4.72595118496080e+01,0.00000000000000e+00
1.00940961707120e+07	4.72590915119270e+01,0.00000000000000e+00
1.00945688692453e+07	4.72586711403153e+01,0.00000000000000e+00
1.00950415899147e+07	4.72582507347704e+01,0.00000000000000e+00
1.00955143327212e+07	4.72578302952892e+01,0.00000000000000e+00
1.00959870976659e+07	4.72574098218688e+01,0.00000000000000e+00
1.00964598847498e+07	4.72569893145066e+01,0.00000000000000e+00
1.00969326939739e+07	4.72565687731994e+01,0.00000000000000e+00
1.00974055253393e+07	4.72561481979444e+01,0.00000000000000e+00
1.00978783788471e+07	4.72557275887388e+01,0.00000000000000e+00
1.00983512544982e+07	4.72553069455796e+01,0.00000000000000e+00
1.00988241522936e+07	4.72548862684639e+01,0.00000000000000e+00
1.00992970722346e+07	4.72544655573892e+01,0.00000000000000e+00
1.00997700143219e+07	4.72540448123520e+01,0.00000000000000e+00
1.01002429785568e+07	4.72536240333501e+01,0.00000000000000e+00
1.01007159649403e+07	4.72532032203800e+01,0.00000000000000e+00
1.01011889734733e+07	4.72527823734393e+01,0.00000000000000e+00
1.01016620041569e+07	4.72523614925246e+01,0.00000000000000e+00
1.01021350569922e+07	4.72519405776335e+01,0.00000000000000e+00
1.01026081319801e+07	4.72515196287628e+01,0.00000000000000e+00
1.01030812291218e+07	4.72510986459099e+01,0.00000000000000e+00
1.01035543484183e+07	4.72506776290715e+01,0.00000000000000e+00
1.01040274898705e+07	4.72502565782454e+01,0.00000000000000e+00
1.01045006534796e+07	4.72498354934281e+01,0.00000000000000e+00
1.01049738392466e+07	4.72494143746169e+01,0.00000000000000e+00
1.01054470471725e+07	4.72489932218089e+01,0.00000000000000e+00
1.01059202772583e+07	4.72485720350013e+01,0.00000000000000e+00
1.01063935295051e+07	4.72481508141910e+01,0.00000000000000e+00
1.01068668039140e+07	4.72477295593755e+01,0.00000000000000e+00
1.01073401004859e+07	4.72473082705514e+01,0.00000000000000e+00
1.01078134192220e+07	4.72468869477164e+01,0.00000000000000e+00
1.01082867601231e+07	4.72464655908673e+01,0.00000000000000e+00
1.01087601231905e+07	4.72460442000009e+01,0.00000000000000e+00
1.01092335084250e+07	4.72456227751151e+01,0.00000000000000e+00
1.01097069158279e+07	4.72452013162063e+01,0.00000000000000e+00
1.01101803454000e+07	4.72447798232722e+01,0.00000000000000e+00
1.01106537971424e+07	4.72443582963093e+01,0.00000000000000e+00
1.01111272710563e+07	4.72439367353150e+01,0.00000000000000e+00
1.01116007671425e+07	4.72435151402867e+01,0.00000000000000e+00
1.01120742854022e+07	4.72430935112209e+01,0.00000000000000e+00
1.01125478258363e+07	4.72426718481155e+01,0.00000000000000e+00
1.01130213884460e+07	4.72422501509668e+01,0.00000000000000e+00
1.01134949732323e+07	4.72418284197724e+01,0.00000000000000e+00
1.01139685801961e+07	4.72414066545291e+01,0.00000000000000e+00
1.01144422093386e+07	4.72409848552344e+01,0.00000000000000e+00
1.01149158606608e+07	4.72405630218854e+01,0.00000000000000e+00
1.01153895341636e+07	4.72401411544786e+01,0.00000000000000e+00
1.01158632298483e+07	4.72397192530119e+01,0.00000000000000e+00
1.01163369477157e+07	4.72392973174820e+01,0.00000000000000e+00
1.01168106877670e+07	4.72388753478860e+01,0.00000000000000e+00
1.01172844500031e+07	4.72384533442212e+01,0.00000000000000e+00
1.01177582344251e+07	4.72380313064844e+01,0.00000000000000e+00
1.01182320410341e+07	4.72376092346731e+01,0.00000000000000e+00
1.01187058698311e+07	4.72371871287844e+01,0.00000000000000e+00
1.01191797208171e+07	4.72367649888148e+01,0.00000000000000e+00
1.01196535939932e+07	4.72363428147622e+01,0.00000000000000e+00
1.01201274893604e+07	4.72359206066234e+01,0.00000000000000e+00
1.01206014069197e+07	4.72354983643952e+01,0.00000000000000e+00
1.01210753466722e+07	4.72350760880751e+01,0.00000000000000e+00
1.01215493086190e+07	4.72346537776602e+01,0.00000000000000e+00
1.01220232927610e+07	4.72342314331475e+01,0.00000000000000e+00
1.01224972990993e+07	4.72338090545341e+01,0.00000000000000e+00
1.01229713276349e+07	4.72333866418170e+01,0.00000000000000e+00
1.01234453783689e+07	4.72329641949935e+01,0.00000000000000e+00
1.01239194513024e+07	4.72325417140608e+01,0.00000000000000e+00
1.01243935464363e+07	4.72321191990156e+01,0.00000000000000e+00
1.01248676637717e+07	4.72316966498555e+01,0.00000000000000e+00
1.01253418033096e+07	4.72312740665773e+01,0.00000000000000e+00
1.01258159650511e+07	4.72308514491781e+01,0.00000000000000e+00
1.01262901489973e+07	4.72304287976554e+01,0.00000000000000e+00
1.01267643551491e+07	4.72300061120058e+01,0.00000000000000e+00
1.01272385835076e+07	4.72295833922266e+01,0.00000000000000e+00
1.01277128340738e+07	4.72291606383150e+01,0.00000000000000e+00
1.01281871068488e+07	4.72287378502681e+01,0.00000000000000e+00
1.01286614018337e+07	4.72283150280829e+01,0.00000000000000e+00
1.01291357190294e+07	4.72278921717567e+01,0.00000000000000e+00
1.01296100584370e+07	4.72274692812863e+01,0.00000000000000e+00
1.01300844200575e+07	4.72270463566690e+01,0.00000000000000e+00
1.01305588038920e+07	4.72266233979020e+01,0.00000000000000e+00
1.01310332099415e+07	4.72262004049821e+01,0.00000000000000e+00
1.01315076382071e+07	4.72257773779067e+01,0.00000000000000e+00
1.01319820886898e+07	4.72253543166729e+01,0.00000000000000e+00
1.01324565613906e+07	4.72249312212777e+01,0.00000000000000e+00
1.01329310563107e+07	4.72245080917181e+01,0.00000000000000e+00
1.01334055734509e+07	4.72240849279916e+01,0.00000000000000e+00
1.01338801128124e+07	4.72236617300947e+01,0.00000000000000e+00
1.01343546743962e+07	4.72232384980251e+01,0.00000000000000e+00
1.01348292582033e+07	4.72228152317796e+01,0.00000000000000e+00
1.01353038642348e+07	4.72223919313554e+01,0.00000000000000e+00
1.01357784924918e+07	4.72219685967497e+01,0.00000000000000e+00
1.01362531429752e+07	4.72215452279593e+01,0.00000000000000e+00
1.01367278156861e+07	4.72211218249814e+01,0.00000000000000e+00
1.01372025106256e+07	4.72206983878134e+01,0.00000000000000e+00
1.01376772277947e+07	4.72202749164521e+01,0.00000000000000e+00
1.01381519671943e+07	4.72198514108948e+01,0.00000000000000e+00
1.01386267288257e+07	4.72194278711384e+01,0.00000000000000e+00
1.01391015126898e+07	4.72190042971801e+01,0.00000000000000e+00
1.01395763187876e+07	4.72185806890172e+01,0.00000000000000e+00
1.01400511471202e+07	4.72181570466466e+01,0.00000000000000e+00
1.01405259976886e+07	4.72177333700654e+01,0.00000000000000e+00
1.01410008704940e+07	4.72173096592707e+01,0.00000000000000e+00
1.01414757655372e+07	4.72168859142596e+01,0.00000000000000e+00
1.01419506828194e+07	4.72164621350295e+01,0.00000000000000e+00
1.01424256223416e+07	4.72160383215771e+01,0.00000000000000e+00
1.01429005841049e+07	4.72156144738996e+01,0.00000000000000e+00
1.01433755681102e+07	4.72151905919943e+01,0.00000000000000e+00
1.01438505743586e+07	4.72147666758580e+01,0.00000000000000e+00
1.01443256028513e+07	4.72143427254881e+01,0.00000000000000e+00
1.01448006535891e+07	4.72139187408818e+01,0.00000000000000e+00
1.01452757265732e+07	4.72134947220357e+01,0.00000000000000e+00
1.01457508218045e+07	4.72130706689474e+01,0.00000000000000e+00
1.01462259392842e+07	4.72126465816136e+01,0.00000000000000e+00
1.01467010790133e+07	4.72122224600317e+01,0.00000000000000e+00
1.01471762409928e+07	4.72117983041989e+01,0.00000000000000e+00
1.01476514252238e+07	4.72113741141118e+01,0.00000000000000e+00
1.01481266317072e+07	4.72109498897678e+01,0.00000000000000e+00
1.01486018604442e+07	4.72105256311643e+01,0.00000000000000e+00
1.01490771114358e+07	4.72101013382980e+01,0.00000000000000e+00
1.01495523846830e+07	4.72096770111660e+01,0.00000000000000e+00
1.01500276801869e+07	4.72092526497656e+01,0.00000000000000e+00
1.01505029979485e+07	4.72088282540940e+01,0.00000000000000e+00
1.01509783379689e+07	4.72084038241478e+01,0.00000000000000e+00
1.01514537002490e+07	4.72079793599247e+01,0.00000000000000e+00
1.01519290847900e+07	4.72075548614215e+01,0.00000000000000e+00
1.01524044915929e+07	4.72071303286351e+01,0.00000000000000e+00
1.01528799206586e+07	4.72067057615633e+01,0.00000000000000e+00
1.01533553719884e+07	4.72062811602023e+01,0.00000000000000e+00
1.01538308455832e+07	4.72058565245498e+01,0.00000000000000e+00
1.01543063414440e+07	4.72054318546029e+01,0.00000000000000e+00
1.01547818595719e+07	4.72050071503582e+01,0.00000000000000e+00
1.01552573999680e+07	4.72045824118136e+01,0.00000000000000e+00
1.01557329626332e+07	4.72041576389655e+01,0.00000000000000e+00
1.01562085475687e+07	4.72037328318112e+01,0.00000000000000e+00
1.01566841547754e+07	4.72033079903478e+01,0.00000000000000e+00
1.01571597842544e+07	4.72028831145726e+01,0.00000000000000e+00
1.01576354360068e+07	4.72024582044826e+01,0.00000000000000e+00
1.01581111100336e+07	4.72020332600748e+01,0.00000000000000e+00
1.01585868063358e+07	4.72016082813462e+01,0.00000000000000e+00
1.01590625249145e+07	4.72011832682943e+01,0.00000000000000e+00
