Freq.	abs(V(drain))
1.00159342395951e+07	1.05352868313551e+01,0.00000000000000e+00
1.00164032778670e+07	1.05359592490874e+01,0.00000000000000e+00
1.00168723381036e+07	1.05366317287836e+01,0.00000000000000e+00
1.00173414203059e+07	1.05373042704527e+01,0.00000000000000e+00
1.00178105244750e+07	1.05379768741030e+01,0.00000000000000e+00
1.00182796506119e+07	1.05386495397432e+01,0.00000000000000e+00
1.00187487987175e+07	1.05393222673818e+01,0.00000000000000e+00
1.00192179687930e+07	1.05399950570274e+01,0.00000000000000e+00
1.00196871608394e+07	1.05406679086885e+01,0.00000000000000e+00
1.00201563748576e+07	1.05413408223737e+01,0.00000000000000e+00
1.00206256108488e+07	1.05420137980916e+01,0.00000000000000e+00
1.00210948688139e+07	1.05426868358508e+01,0.00000000000000e+00
1.00215641487540e+07	1.05433599356598e+01,0.00000000000000e+00
1.00220334506701e+07	1.05440330975271e+01,0.00000000000000e+00
1.00225027745633e+07	1.05447063214615e+01,0.00000000000000e+00
1.00229721204345e+07	1.05453796074713e+01,0.00000000000000e+00
1.00234414882848e+07	1.05460529555652e+01,0.00000000000000e+00
1.00239108781152e+07	1.05467263657519e+01,0.00000000000000e+00
1.00243802899268e+07	1.05473998380399e+01,0.00000000000000e+00
1.00248497237206e+07	1.05480733724376e+01,0.00000000000000e+00
1.00253191794976e+07	1.05487469689539e+01,0.00000000000000e+00
1.00257886572588e+07	1.05494206275971e+01,0.00000000000000e+00
1.00262581570053e+07	1.05500943483758e+01,0.00000000000000e+00
1.00267276787381e+07	1.05507681312989e+01,0.00000000000000e+00
1.00271972224582e+07	1.05514419763747e+01,0.00000000000000e+00
1.00276667881667e+07	1.05521158836118e+01,0.00000000000000e+00
1.00281363758646e+07	1.05527898530190e+01,0.00000000000000e+00
1.00286059855529e+07	1.05534638846047e+01,0.00000000000000e+00
1.00290756172327e+07	1.05541379783776e+01,0.00000000000000e+00
1.00295452709049e+07	1.05548121343461e+01,0.00000000000000e+00
1.00300149465706e+07	1.05554863525191e+01,0.00000000000000e+00
1.00304846442309e+07	1.05561606329049e+01,0.00000000000000e+00
1.00309543638868e+07	1.05568349755123e+01,0.00000000000000e+00
1.00314241055392e+07	1.05575093803499e+01,0.00000000000000e+00
1.00318938691893e+07	1.05581838474263e+01,0.00000000000000e+00
1.00323636548380e+07	1.05588583767499e+01,0.00000000000000e+00
1.00328334624865e+07	1.05595329683295e+01,0.00000000000000e+00
1.00333032921356e+07	1.05602076221738e+01,0.00000000000000e+00
1.00337731437865e+07	1.05608823382913e+01,0.00000000000000e+00
1.00342430174402e+07	1.05615571166905e+01,0.00000000000000e+00
1.00347129130977e+07	1.05622319573801e+01,0.00000000000000e+00
1.00351828307600e+07	1.05629068603688e+01,0.00000000000000e+00
1.00356527704282e+07	1.05635818256651e+01,0.00000000000000e+00
1.00361227321033e+07	1.05642568532777e+01,0.00000000000000e+00
1.00365927157864e+07	1.05649319432152e+01,0.00000000000000e+00
1.00370627214784e+07	1.05656070954862e+01,0.00000000000000e+00
1.00375327491804e+07	1.05662823100994e+01,0.00000000000000e+00
1.00380027988934e+07	1.05669575870632e+01,0.00000000000000e+00
1.00384728706185e+07	1.05676329263864e+01,0.00000000000000e+00
1.00389429643567e+07	1.05683083280777e+01,0.00000000000000e+00
1.00394130801089e+07	1.05689837921456e+01,0.00000000000000e+00
1.00398832178764e+07	1.05696593185987e+01,0.00000000000000e+00
1.00403533776600e+07	1.05703349074459e+01,0.00000000000000e+00
1.00408235594608e+07	1.05710105586954e+01,0.00000000000000e+00
1.00412937632799e+07	1.05716862723563e+01,0.00000000000000e+00
1.00417639891182e+07	1.05723620484370e+01,0.00000000000000e+00
1.00422342369769e+07	1.05730378869460e+01,0.00000000000000e+00
1.00427045068568e+07	1.05737137878921e+01,0.00000000000000e+00
1.00431747987592e+07	1.05743897512840e+01,0.00000000000000e+00
1.00436451126849e+07	1.05750657771303e+01,0.00000000000000e+00
1.00441154486351e+07	1.05757418654397e+01,0.00000000000000e+00
